Start (ET),Visitor/Neutral,Visitor PTS,Home/Neutral,Home PTS,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes,game_type,Date_Clean,Home Rest,Visitor Rest,team_i,team_j,margin_ij,rest_i,rest_j,home_i,home_j,id_i,location_i,id_j,location_j,location_game,Visitor Travel,Home Travel,travel_i,travel_j
7:30p,Brooklyn Nets,104,Milwaukee Bucks,127,Box Score,,17341.0,Fiserv Forum,,Regular Season,2021-10-19,10,10,Milwaukee Bucks,Brooklyn Nets,23,10,10,1,0,17,"[43.042230000000075, -87.90689999999995]",3,"[40.692450000000065, -73.99035999999995]","[43.042230000000075, -87.90689999999995]",1180.1196984487544,0.0,0.0,1180.1196984487544
10:00p,Golden State Warriors,121,Los Angeles Lakers,114,Box Score,,18997.0,Crypto.com Arena,,Regular Season,2021-10-19,10,10,Golden State Warriors,Los Angeles Lakers,7,10,10,0,1,10,"[37.777120000000025, -122.41963999999996]",14,"[34.053570000000036, -118.24544999999995]","[34.053570000000036, -118.24544999999995]",559.0934334988721,0.0,559.0934334988721,0.0
7:00p,Chicago Bulls,94,Detroit Pistons,88,Box Score,,20088.0,Little Caesars Arena,,Regular Season,2021-10-20,10,10,Chicago Bulls,Detroit Pistons,6,10,10,0,1,5,"[41.884250000000065, -87.63244999999995]",9,"[42.33168000000006, -83.04799999999994]","[42.33168000000006, -83.04799999999994]",381.3979281798166,0.0,381.3979281798166,0.0
9:00p,Oklahoma City Thunder,86,Utah Jazz,107,Box Score,,18306.0,Vivint Smart Home Arena,,Regular Season,2021-10-20,10,10,Utah Jazz,Oklahoma City Thunder,21,10,10,1,0,29,"[40.76031000000006, -111.88821999999999]",21,"[35.472030000000075, -97.52106999999995]","[40.76031000000006, -111.88821999999999]",1385.352178195754,0.0,0.0,1385.352178195754
8:30p,Orlando Magic,97,San Antonio Spurs,123,Box Score,,16697.0,AT&T Center,,Regular Season,2021-10-20,10,10,San Antonio Spurs,Orlando Magic,26,10,10,1,0,27,"[29.42458000000005, -98.49460999999997]",22,"[28.538230000000055, -81.37738999999993]","[29.42458000000005, -98.49460999999997]",1666.4269204604486,0.0,0.0,1666.4269204604486
8:00p,Cleveland Cavaliers,121,Memphis Grizzlies,132,Box Score,,15975.0,FedEx Forum,,Regular Season,2021-10-20,10,10,Memphis Grizzlies,Cleveland Cavaliers,11,10,10,1,0,15,"[35.14976000000007, -90.04924999999997]",6,"[41.50473000000005, -81.69073999999995]","[35.14976000000007, -90.04924999999997]",1014.4060697229145,0.0,0.0,1014.4060697229145
8:00p,Houston Rockets,106,Minnesota Timberwolves,124,Box Score,,16079.0,Target Center,,Regular Season,2021-10-20,10,10,Minnesota Timberwolves,Houston Rockets,18,10,10,1,0,18,"[46.34885576600004, -94.20079058299996]",11,"[29.760780000000068, -95.36951999999997]","[46.34885576600004, -94.20079058299996]",1847.2897528215783,0.0,0.0,1847.2897528215783
7:30p,Boston Celtics,134,New York Knicks,138,Box Score,2OT,19812.0,Madison Square Garden (IV),,Regular Season,2021-10-20,10,10,New York Knicks,Boston Celtics,4,10,10,1,0,20,"[40.71455000000003, -74.00713999999994]",2,"[42.35866000000004, -71.05673999999993]","[40.71455000000003, -74.00713999999994]",306.116193343826,0.0,0.0,306.116193343826
8:00p,Philadelphia 76ers,117,New Orleans Pelicans,97,Box Score,,12845.0,Smoothie King Center,,Regular Season,2021-10-20,10,10,Philadelphia 76ers,New Orleans Pelicans,20,10,10,0,1,23,"[39.95222000000007, -75.16217999999998]",19,"[29.953700000000026, -90.07774999999998]","[29.953700000000026, -90.07774999999998]",1751.8368159038666,0.0,1751.8368159038666,0.0
10:00p,Sacramento Kings,124,Portland Trail Blazers,121,Box Score,,17467.0,Moda Center,,Regular Season,2021-10-20,10,10,Sacramento Kings,Portland Trail Blazers,3,10,10,0,1,26,"[38.579440000000034, -121.49084999999997]",25,"[45.511790000000076, -122.67562999999996]","[45.511790000000076, -122.67562999999996]",776.9996936478415,0.0,776.9996936478415,0.0
